user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
bin.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__Hominicoprocola sp900317525	GCF_018918025.1	95.11	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__Hominicoprocola sp900317525	97.26	0.806	GCF_018918025.1	95.11	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__Hominicoprocola sp900317525	97.26	0.806	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002437735.1, s__Hominicoprocola sp002437735, 95.0, 94.9, 0.79; GCA_937915075.1, s__Hominicoprocola sp937915075, 95.0, 93.99, 0.732; GCA_021531315.1, s__Hominicoprocola sp900552375, 95.0, 89.07, 0.572; GCA_963654505.1, s__Hominicoprocola sp963654505, 95.0, 89.01, 0.547; GCA_934553255.1, s__Hominicoprocola sp934553255, 95.0, 88.31, 0.615; GCA_037419475.1, s__Hominicoprocola sp037419475, 95.0, 84.07, 0.278; GCA_934589665.1, s__Hominicoprocola sp934589665, 95.0, 83.61, 0.224; GCA_934567115.1, s__Hominicoprocola sp934567115, 95.0, 82.76, 0.158; GCA_934561515.1, s__Hominicoprocola sp900556145, 95.0, 82.7, 0.174; GCA_934636865.1, s__Hominicoprocola sp934636865, 95.0, 82.21, 0.164; GCA_020687125.1, s__Hominicoprocola fusiformis, 95.0, 81.87, 0.165; GCA_963612845.1, s__Hominicoprocola sp963612845, 95.0, 81.79, 0.173; GCA_934572465.1, s__Hominicoprocola sp934572465, 95.0, 81.54, 0.16; GCA_002405995.1, s__Hominicoprocola sp002405995, 95.0, 81.47, 0.158; GCA_900763705.1, s__Hominicoprocola sp900763705, 95.0, 81.22, 0.167; GCA_040095065.1, s__Hominicoprocola sp934835795, 96.51, 81.2, 0.157; GCA_900550165.1, s__Hominicoprocola sp900550165, 95.0, 81.15, 0.151; GCA_900546295.1, s__Hominicoprocola sp900546295, 95.0, 81.02, 0.153; GCA_037343695.1, s__Hominicoprocola sp037343695, 95.0, 80.96, 0.166	91.94	11	N/A	N/A
bin.10	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.5%)
bin.11	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis	GCF_000020605.1	95.02	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis	98.12	0.862	GCF_000020605.1	95.02	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis	98.12	0.862	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_902786155.1, s__Agathobacter sp900317585, 95.0, 94.78, 0.658; GCA_937935345.1, s__Agathobacter sp900546625, 95.0, 94.19, 0.777; GCA_934365945.1, s__Agathobacter sp934365945, 95.0, 93.26, 0.586; GCA_963586665.1, s__Agathobacter sp963586665, 95.0, 81.79, 0.166	87.49	11	N/A	N/A
bin.12	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides salyersiae	GCF_000381365.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides salyersiae	98.87	0.62	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have incongruent species assignments	GCF_000381365.1, s__Bacteroides salyersiae, 95.0, 98.87, 0.62; GCF_000011065.1, s__Bacteroides thetaiotaomicron, 95.0, 97.4, 0.447; GCA_948847595.1, s__Bacteroides sp948847595, 95.0, 95.96, 0.339; GCA_947646015.1, s__Bacteroides sp947646015, 95.0, 95.13, 0.216; GCA_019412825.1, s__Bacteroides thetaiotaomicron_A, 95.0, 94.7, 0.386; GCA_900755095.1, s__Bacteroides sp900755095, 95.0, 93.42, 0.231; GCA_947038155.1, s__Bacteroides sp947038155, 95.0, 90.82, 0.197; GCF_900106755.1, s__Bacteroides faecis, 95.0, 89.67, 0.316; GCA_958477465.1, s__Bacteroides sp958477465, 95.0, 87.05, 0.286; GCA_963599995.1, s__Bacteroides sp963599995, 95.0, 86.12, 0.304	26.19	11	N/A	Genome has more than 41.7% of markers with multiple hits
bin.13	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_I	GCF_003287495.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_I	97.61	0.707	GCF_003287495.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_I	97.61	0.707	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_010509575.1, s__Faecalibacterium duncaniae, 95.0, 91.67, 0.495; GCA_937915335.1, s__Faecalibacterium sp937915335, 95.0, 88.16, 0.361; GCA_963612415.1, s__Faecalibacterium sp963612415, 95.0, 87.47, 0.369; GCA_014858325.1, s__Faecalibacterium sp014858325, 95.0, 86.87, 0.479; GCA_902463235.1, s__Faecalibacterium sp902463235, 95.0, 86.26, 0.27; GCA_902463905.1, s__Faecalibacterium sp902463905, 95.0, 85.63, 0.237; GCA_963654645.1, s__Faecalibacterium sp963654645, 95.0, 85.15, 0.223; GCA_934525405.1, s__Faecalibacterium sp934525405, 95.0, 84.78, 0.229; GCA_900765705.1, s__Faecalibacterium sp900765705, 95.0, 84.71, 0.183; GCA_934526125.1, s__Faecalibacterium sp934526125, 95.0, 84.68, 0.448; GCF_019967995.1, s__Faecalibacterium prausnitzii_E, 95.0, 84.63, 0.323; GCA_900765105.1, s__Faecalibacterium sp900765105, 95.0, 84.6, 0.234; GCA_934547065.1, s__Faecalibacterium sp934547065, 95.0, 84.51, 0.438; GCF_003287455.1, s__Faecalibacterium hattorii, 95.0, 84.46, 0.337; GCA_900772565.1, s__Faecalibacterium sp900772565, 95.0, 84.42, 0.244; GCA_934525325.1, s__Faecalibacterium sp934525325, 95.0, 84.41, 0.256; GCF_020687245.1, s__Faecalibacterium longum, 95.36, 84.37, 0.281; GCA_937917475.1, s__Faecalibacterium sp937917475, 95.0, 84.3, 0.24; GCA_025757845.1, s__Faecalibacterium sp900539945, 95.0, 84.29, 0.261; GCA_002313795.1, s__Faecalibacterium prausnitzii_L, 95.0, 84.29, 0.226; GCF_002549775.1, s__Faecalibacterium prausnitzii_F, 95.0, 84.26, 0.266; GCA_905215595.1, s__Faecalibacterium sp905215595, 95.0, 84.26, 0.216; GCA_934525735.1, s__Faecalibacterium sp934525735, 95.0, 84.17, 0.282; GCF_023347275.1, s__Faecalibacterium butyricigenerans, 95.0, 83.98, 0.283; GCA_934514285.1, s__Faecalibacterium sp934514285, 95.0, 83.97, 0.336; GCA_934525845.1, s__Faecalibacterium sp934525845, 95.0, 83.77, 0.296; GCF_023347535.1, s__Faecalibacterium wellingii, 95.0, 83.74, 0.25; GCF_036632915.2, s__Faecalibacterium taiwanense, 95.0, 83.69, 0.257; GCF_003324185.1, s__Faecalibacterium prausnitzii, 95.0, 83.63, 0.22; GCF_040096575.1, s__Faecalibacterium intestinale, 95.0, 83.59, 0.227; GCF_023347295.1, s__Faecalibacterium sp003449675, 95.0, 83.58, 0.232; GCA_934561485.1, s__Faecalibacterium sp934561485, 95.0, 83.38, 0.279; GCA_934511465.1, s__Faecalibacterium sp934511465, 95.0, 83.36, 0.26; GCF_040096515.1, s__Faecalibacterium tardum, 95.0, 83.35, 0.219; GCA_963615785.1, s__Faecalibacterium sp963615785, 95.0, 83.34, 0.216; GCA_963646665.1, s__Faecalibacterium sp963646665, 95.0, 83.31, 0.255; GCA_934533135.1, s__Faecalibacterium sp934533135, 95.0, 83.21, 0.306; GCA_934539245.1, s__Faecalibacterium sp934539245, 95.0, 83.2, 0.278; GCA_934524985.1, s__Faecalibacterium sp934524985, 95.0, 83.2, 0.268; GCA_934503275.1, s__Faecalibacterium sp934503275, 95.0, 83.18, 0.262; GCA_934561555.1, s__Faecalibacterium sp934561555, 95.0, 83.17, 0.236; GCA_934512105.1, s__Faecalibacterium sp934512105, 95.0, 83.14, 0.25; GCA_900551435.1, s__Faecalibacterium sp900551435, 95.0, 83.11, 0.293; GCA_963660925.1, s__Faecalibacterium sp963660925, 95.0, 83.11, 0.284; GCA_934540955.1, s__Faecalibacterium sp934540955, 95.0, 83.1, 0.262; GCA_934561115.1, s__Faecalibacterium sp934561115, 95.0, 82.91, 0.275; GCA_934532365.1, s__Faecalibacterium sp934532365, 95.0, 82.79, 0.257; GCA_934501115.1, s__Faecalibacterium sp934501115, 95.0, 82.69, 0.225; GCA_934513205.1, s__Faecalibacterium sp934513205, 95.0, 82.66, 0.251; GCA_963648915.1, s__Faecalibacterium sp963648915, 95.0, 82.64, 0.15; GCA_963656875.1, s__Faecalibacterium sp963656875, 95.0, 82.54, 0.183; GCA_934553285.1, s__Faecalibacterium sp934553285, 95.0, 82.45, 0.263; GCA_934548045.1, s__Faecalibacterium sp934548045, 95.0, 82.15, 0.223; GCA_934518555.1, s__Faecalibacterium sp934518555, 95.0, 81.88, 0.244; GCA_004558805.1, s__Faecalibacterium prausnitzii_M, 95.0, 81.81, 0.221; GCA_963599235.1, s__Faecalibacterium sp963599235, 95.0, 81.53, 0.15	17.89	11	N/A	Genome has more than 55.8% of markers with multiple hits
bin.14	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp003451515	GCA_003464165.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp003451515	97.48	0.909	GCA_003464165.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp003451515	97.48	0.909	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_009680455.1, s__Lachnospira eligens_A, 95.58, 95.59, 0.798; GCF_000146185.1, s__Lachnospira eligens, 95.0, 94.74, 0.777; GCF_003458705.1, s__Lachnospira sp003537285, 95.44, 93.79, 0.726; GCA_019424245.1, s__Lachnospira sp019424245, 95.0, 91.66, 0.311; GCA_030537195.1, s__Lachnospira sp030537195, 95.0, 91.44, 0.771; GCA_963597265.1, s__Lachnospira sp963597265, 95.0, 91.41, 0.77; GCA_963590775.1, s__Lachnospira sp963590775, 95.0, 90.67, 0.677; GCA_934343805.1, s__Lachnospira sp934343805, 95.0, 89.61, 0.468; GCA_945910225.1, s__Lachnospira sp945910225, 95.0, 88.13, 0.421; GCA_963654395.1, s__Lachnospira sp963654395, 95.0, 86.51, 0.359; GCA_945939115.1, s__Lachnospira sp945939115, 95.0, 82.97, 0.169	79.49	11	N/A	N/A
bin.15	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii	GCF_025145845.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii	99.04	0.915	GCF_025145845.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii	99.04	0.915	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_900541585.1, s__Alistipes sp900541585, 95.0, 93.99, 0.753; GCF_020026455.1, s__Alistipes sp020026455, 95.0, 90.39, 0.558; GCF_018362775.1, s__Alistipes montrealensis, 95.0, 88.34, 0.582; GCA_023443765.1, s__Alistipes sp023443765, 95.0, 88.27, 0.55; GCF_025145645.1, s__Alistipes senegalensis, 95.0, 87.42, 0.449; GCF_900083545.1, s__Alistipes provencensis, 95.0, 86.8, 0.43; GCA_001941065.1, s__Alistipes sp001941065, 95.0, 86.74, 0.398; GCF_900107675.1, s__Alistipes timonensis, 95.0, 86.69, 0.435; GCF_000265365.1, s__Alistipes finegoldii, 95.0, 83.12, 0.237; GCF_025145285.1, s__Alistipes onderdonkii, 95.0, 82.81, 0.229; GCF_006542685.1, s__Alistipes dispar, 95.0, 82.39, 0.215; GCF_949296715.1, s__Alistipes sp949296715, 95.0, 82.21, 0.225; GCA_019115075.1, s__Alistipes avistercoris, 95.0, 82.06, 0.168; GCA_019119845.1, s__Alistipes merdavium, 95.0, 81.93, 0.206; GCA_944320625.1, s__Alistipes sp944320625, 95.0, 81.89, 0.154; GCF_021204515.1, s__Alistipes sp021204515, 95.0, 81.81, 0.177; GCF_902388705.1, s__Alistipes sp902388705, 95.0, 81.7, 0.19; GCA_944321945.1, s__Alistipes sp944321945, 95.0, 81.67, 0.164; GCA_938014215.1, s__Alistipes sp938014215, 95.0, 81.66, 0.178; GCA_019118605.1, s__Alistipes faecavium, 95.0, 81.54, 0.186; GCA_019115605.1, s__Alistipes faecigallinarum, 95.0, 81.46, 0.17; GCA_019115245.1, s__Alistipes cottocaccae, 95.0, 81.44, 0.171; GCA_944321185.1, s__Alistipes sp944321185, 95.0, 81.37, 0.186; GCA_019119615.1, s__Alistipes stercoravium, 95.0, 81.33, 0.169; GCF_900604385.1, s__Alistipes megaguti, 95.0, 81.32, 0.175; GCF_963931675.1, s__Alistipes sp944321195, 95.0, 81.3, 0.176; GCA_947364365.1, s__Alistipes sp947364365, 95.0, 81.26, 0.155; GCA_900553175.1, s__Alistipes sp900553175, 95.0, 81.07, 0.189; GCF_022782405.1, s__Alistipes sp022782405, 95.0, 81.04, 0.153; GCA_902362705.1, s__Alistipes sp002358415, 95.0, 80.8, 0.153; GCA_019115745.1, s__Alistipes intestinigallinarum, 95.0, 80.8, 0.153	90.05	11	N/A	N/A
bin.16	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia inulinivorans	GCF_000174195.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia inulinivorans	97.84	0.727	GCF_000174195.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia inulinivorans	97.84	0.727	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900542495.1, s__Roseburia sp900542495, 95.0, 90.8, 0.56; GCA_934292805.1, s__Roseburia sp934292805, 95.0, 81.84, 0.155	87.81	11	N/A	Genome has more than 10.8% of markers with multiple hits
bin.17	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp900545585	GCA_900545585.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp900545585	98.28	0.96	GCA_900545585.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp900545585	98.28	0.96	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900551355.1, s__Vescimonas sp900551355, 95.0, 89.24, 0.487; GCA_900547745.1, s__Vescimonas sp900547745, 95.0, 88.95, 0.52; GCA_900550585.1, s__Vescimonas sp900550585, 95.0, 88.84, 0.532; GCA_934591745.1, s__Vescimonas sp934591745, 95.0, 88.68, 0.411; GCA_900545495.1, s__Vescimonas sp900545495, 95.0, 88.64, 0.508; GCA_934591815.1, s__Vescimonas sp934591815, 95.0, 88.34, 0.488; GCA_934589835.1, s__Vescimonas sp934589835, 95.0, 87.28, 0.47; GCA_934590325.1, s__Vescimonas sp934590325, 95.0, 85.59, 0.24; GCA_934623575.1, s__Vescimonas sp934623575, 95.0, 85.09, 0.214; GCA_003487665.1, s__Vescimonas sp003487665, 95.0, 85.09, 0.202; GCA_963632705.1, s__Vescimonas sp963632705, 95.0, 84.73, 0.257; GCA_945878665.1, s__Vescimonas sp945878665, 95.0, 84.65, 0.255; GCA_900554275.1, s__Vescimonas sp900554275, 95.0, 84.08, 0.219; GCA_900551995.1, s__Vescimonas sp900551995, 95.0, 83.96, 0.189; GCA_000435555.1, s__Vescimonas sp000435555, 95.0, 83.88, 0.171	79.05	11	N/A	N/A
bin.18	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcoides;s__Ruminococcoides intestinale	GCF_040096305.1	95.12	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcoides;s__Ruminococcoides intestinale	97.78	0.845	GCF_040096305.1	95.12	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcoides;s__Ruminococcoides intestinale	97.78	0.845	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcoides;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_002834225.1, s__Ruminococcoides bromii, 95.0, 95.04, 0.775; GCA_905215855.1, s__Ruminococcoides sp905215855, 95.0, 94.59, 0.755; GCA_902771755.1, s__Ruminococcoides sp902771755, 95.0, 92.46, 0.642; GCA_902766775.1, s__Ruminococcoides sp902766775, 95.0, 90.9, 0.585	84.19	11	N/A	N/A
