Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
bin.1	97.17	1.82	Gradient Boost (General Model)	11	0.885	32293	299.9	1897632	0.61	1870	86	83025	None
bin.10	9.04	0.0	Neural Network (Specific Model)	11	0.908	93670	364.63517915309444	369345	0.44	307	8	176646	None
bin.11	89.99	0.16	Neural Network (Specific Model)	11	0.892	80138	324.5860215053763	2634726	0.42	2418	46	242227	None
bin.12	89.4	43.81	Neural Network (Specific Model)	11	0.903	6591	339.0265046126812	7684464	0.42	6829	1286	60721	None
bin.13	99.9	52.76	Neural Network (Specific Model)	11	0.885	10119	302.5294787809741	3596652	0.6	3511	443	62292	None
bin.14	81.81	0.23	Neural Network (Specific Model)	11	0.918	9268	306.636316872428	1945602	0.38	1944	246	48007	None
bin.15	97.06	1.69	Neural Network (Specific Model)	11	0.898	26244	355.5311070448307	2592742	0.6	2186	134	75152	None
bin.16	99.88	6.34	Neural Network (Specific Model)	11	0.883	24266	302.18027602070157	3563569	0.41	3478	255	113077	None
bin.17	87.52	0.01	Gradient Boost (General Model)	11	0.896	8604	297.3476587556126	1550649	0.62	1559	213	34444	None
bin.18	88.65	2.39	Gradient Boost (General Model)	11	0.877	10870	288.0908574673481	1733472	0.41	1761	213	86310	None
bin.19	8.49	0.3	Neural Network (Specific Model)	11	0.868	11169	259.5959885386819	311921	0.55	349	34	25906	None
bin.2	6.11	0.01	Neural Network (Specific Model)	11	0.854	10363	238.9968051118211	262107	0.35	313	36	22010	None
bin.20	86.53	51.69	Neural Network (Specific Model)	11	0.873	16225	301.5453580901857	3899164	0.58	3770	368	83328	None
bin.21	73.38	1.11	Neural Network (Specific Model)	11	0.842	7129	305.6025641025641	1950159	0.56	1794	306	35343	None
bin.22	88.05	3.24	Neural Network (Specific Model)	11	0.867	26550	327.38039215686274	2306965	0.55	2040	121	75231	None
bin.23	33.98	0.01	Neural Network (Specific Model)	11	0.893	26698	305.34158415841586	413658	0.43	404	28	57774	None
bin.24	66.36	0.35	Gradient Boost (General Model)	11	0.921	4346	287.4688128772636	464350	0.27	497	108	18036	None
bin.25	57.86	1.47	Neural Network (Specific Model)	11	0.914	5403	298.19949622166246	1939087	0.42	1985	380	16038	None
bin.26	96.22	4.12	Gradient Boost (General Model)	11	0.887	26939	311.6509684770224	2769265	0.58	2633	148	118619	None
bin.27	88.21	2.64	Neural Network (Specific Model)	11	0.912	26222	352.9825565549196	4255123	0.45	3669	239	151660	None
bin.28	9.59	0.0	Neural Network (Specific Model)	11	0.907	3690	264.2781954887218	232254	0.63	266	61	7667	None
bin.29	91.26	0.29	Neural Network (Specific Model)	11	0.906	61501	336.0550259965338	2563358	0.44	2308	59	136794	None
bin.3	42.25	0.0	Gradient Boost (General Model)	11	0.868	4379	284.27197149643706	826094	0.5	842	186	15354	None
bin.30	7.62	0.16	Neural Network (Specific Model)	11	0.891	53598	270.8683274021352	255418	0.53	281	11	65581	None
bin.31	6.3	0.0	Neural Network (Specific Model)	11	0.888	51827	291.50230414746545	213162	0.41	217	7	100930	None
bin.32	7.19	0.15	Neural Network (Specific Model)	11	0.84	14487	239.2397094430993	351651	0.37	413	34	41786	None
bin.33	6.08	0.08	Neural Network (Specific Model)	11	0.863	13320	252.8374655647383	317863	0.51	363	30	38323	None
bin.34	42.89	0.29	Neural Network (Specific Model)	11	0.908	86920	371.590034965035	1403781	0.46	1144	23	164206	None
bin.35	5.2	0.01	Neural Network (Specific Model)	11	0.861	16485	309.8031088082902	207522	0.44	193	16	52801	None
bin.36	41.57	0.07	Neural Network (Specific Model)	11	0.87	10047	277.62234636871506	854981	0.48	895	104	33634	None
bin.37	93.06	0.36	Neural Network (Specific Model)	11	0.879	68427	343.25776754890677	3050483	0.43	2607	73	133476	None
bin.38	100.0	41.76	Neural Network (Specific Model)	11	0.909	118524	392.5452741702742	7175738	0.43	5544	91	311115	None
bin.39	13.57	0.02	Neural Network (Specific Model)	11	0.886	5060	271.4079822616408	413767	0.61	451	93	10383	None
bin.4	85.47	0.4	Neural Network (Specific Model)	11	0.909	89402	316.43912710566616	2723511	0.44	2612	51	243678	None
bin.40	81.07	4.45	Neural Network (Specific Model)	11	0.865	29041	309.11680630852635	2172053	0.6	2029	115	135430	None
bin.41	65.6	6.05	Gradient Boost (General Model)	11	0.927	5212	318.4145383104126	1046853	0.3	1018	217	23245	None
bin.42	99.33	1.64	Neural Network (Specific Model)	11	0.913	205986	370.06408094435074	4319889	0.46	3558	44	399830	None
bin.43	9.6	0.1	Neural Network (Specific Model)	11	0.875	20788	273.98802395209583	468452	0.5	501	35	67841	None
bin.44	99.73	0.62	Neural Network (Specific Model)	11	0.899	131484	372.7494282083863	4885871	0.41	3935	57	569240	None
bin.45	83.39	0.16	Neural Network (Specific Model)	11	0.894	58257	336.8720706876681	2936587	0.47	2603	82	167068	None
bin.46	12.89	0.0	Neural Network (Specific Model)	11	0.926	36738	306.6725663716814	224043	0.4	226	7	97076	None
bin.47	91.93	0.39	Neural Network (Specific Model)	11	0.915	102483	333.7362840018442	2369626	0.41	2169	37	228763	None
bin.48	83.65	0.63	Neural Network (Specific Model)	11	0.877	18185	308.74307862679956	1904745	0.6	1806	157	61266	None
bin.49	6.75	0.02	Neural Network (Specific Model)	11	0.883	26549	302.23790322580646	254103	0.43	248	12	54264	None
bin.5	41.46	0.09	Neural Network (Specific Model)	11	0.886	4628	287.4428007889546	985904	0.46	1014	218	14614	None
bin.50	7.53	0.0	Neural Network (Specific Model)	11	0.907	121532	363.44117647058823	204231	0.47	170	2	121532	None
bin.51	10.09	0.02	Neural Network (Specific Model)	11	0.864	5010	282.0754189944134	350270	0.58	358	71	15787	None
bin.6	94.55	0.12	Neural Network (Specific Model)	11	0.884	60545	323.26235889451146	2815214	0.53	2569	71	208793	None
bin.7	15.11	0.0	Neural Network (Specific Model)	11	0.903	3962	273.6279569892473	421945	0.42	465	108	7816	None
bin.8	29.29	4.92	Neural Network (Specific Model)	11	0.864	20587	257.5700824499411	1511775	0.39	1698	126	135123	None
bin.9	14.66	0.93	Neural Network (Specific Model)	11	0.87	5748	238.06650246305418	995739	0.34	1218	183	56227	None
