contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
k141_59859	866	No	NA	1	1	0	Low-quality	Genome-fragment	2.33	AAI-based (high-confidence)	0.0	1.0	
k141_17980	353	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_35932	1730	No	NA	3	1	0	Low-quality	Genome-fragment	2.21	AAI-based (medium-confidence)	0.0	1.0	
k141_59872	3925	No	NA	7	4	0	Low-quality	Genome-fragment	8.18	AAI-based (high-confidence)	0.0	1.0	
k141_12007	3475	No	NA	5	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_47912	7863	No	NA	11	5	0	Low-quality	Genome-fragment	9.55	AAI-based (high-confidence)	0.0	1.0	
k141_35994	3032	No	NA	1	0	0	Low-quality	Genome-fragment	3.01	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
k141_30025	319	No	NA	1	0	0	Low-quality	Genome-fragment	0.59	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
k141_47924	566	No	NA	2	1	0	Low-quality	Genome-fragment	0.14	HMM-based (lower-bound)	0.0	1.0	
k141_53947	745	No	NA	1	0	0	Low-quality	Genome-fragment	1.77	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
k141_6037	13941	No	NA	15	1	1	Low-quality	Genome-fragment	6.43	HMM-based (lower-bound)	0.0	1.0	
k141_81	2678	No	NA	7	0	0	Low-quality	Genome-fragment	1.47	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
k141_12057	2204	No	NA	2	2	0	Low-quality	Genome-fragment	2.1	AAI-based (high-confidence)	0.0	1.0	
k141_90	1451	No	NA	2	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_6053	1804	No	NA	2	1	0	Low-quality	Genome-fragment	3.32	AAI-based (high-confidence)	0.0	1.0	
k141_36066	1390	No	NA	3	2	0	Low-quality	Genome-fragment	3.65	AAI-based (high-confidence)	0.0	1.0	
k141_41959	443	No	NA	1	1	0	Low-quality	Genome-fragment	0.36	HMM-based (lower-bound)	0.0	1.0	
k141_6080	21827	No	NA	32	7	3	Low-quality	Genome-fragment	46.38	AAI-based (high-confidence)	0.0	1.0	
k141_65908	802	No	NA	1	1	0	Low-quality	Genome-fragment	1.68	AAI-based (high-confidence)	0.0	1.0	
k141_54004	23884	No	NA	20	3	0	Low-quality	Genome-fragment	29.01	AAI-based (high-confidence)	0.0	1.0	
k141_24099	2241	No	NA	2	1	0	Low-quality	Genome-fragment	5.29	AAI-based (high-confidence)	0.0	1.0	
