seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
k141_18955	23499	No terminal repeats	NA	23	11	0.9832	NA	6	31.6787	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_18867	24812	No terminal repeats	NA	21	11	0.9830	NA	6	28.2421	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_68315	4439	No terminal repeats	NA	7	11	0.9829	NA	4	11.2528	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_39761	7910	No terminal repeats	NA	11	11	0.9828	NA	2	13.2347	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_32476	3931	No terminal repeats	NA	6	11	0.9828	NA	2	9.7950	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_67855	12831	No terminal repeats	NA	11	11	0.9828	NA	2	14.4093	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_11497	13450	No terminal repeats	NA	19	11	0.9827	NA	7	30.2724	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_71057	4032	No terminal repeats	NA	10	11	0.9827	NA	3	13.0859	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_61066	2358	No terminal repeats	NA	4	11	0.9827	NA	1	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_39782	7851	No terminal repeats	NA	11	11	0.9827	NA	2	13.7178	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_67892	12842	No terminal repeats	NA	11	11	0.9826	NA	2	14.4093	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_63384|provirus_2_29533	29532	Provirus	2-29533	41	11	0.9825	NA	11	55.8809	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_67905	5292	No terminal repeats	NA	8	11	0.9824	NA	0	12.4622	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_36648	6562	No terminal repeats	NA	6	11	0.9824	NA	1	9.5225	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_48922	6885	No terminal repeats	NA	7	11	0.9823	NA	3	9.7556	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_64925	17665	No terminal repeats	NA	25	11	0.9823	NA	9	31.5278	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_66311	17087	No terminal repeats	NA	34	11	0.9823	NA	0	42.5769	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_18690	3896	No terminal repeats	NA	6	11	0.9823	NA	2	10.0741	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_49235	6046	No terminal repeats	NA	9	11	0.9822	NA	0	9.9295	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_35245|provirus_24952_89403	64452	Provirus	24952-89403	107	11	0.9820	NA	17	102.9028	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_31436	12364	No terminal repeats	NA	27	11	0.9820	NA	0	36.0839	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_57630	4479	No terminal repeats	NA	5	11	0.9820	NA	3	7.7804	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_41372	3440	No terminal repeats	NA	3	11	0.9818	NA	2	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_57921|provirus_152_43561	43410	Provirus	152-43561	59	11	0.9818	NA	15	64.5155	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_71803	31525	DTR	NA	48	11	0.9817	NA	14	54.4605	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_46065	4754	No terminal repeats	NA	9	11	0.9817	NA	1	13.3461	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_12197	36071	No terminal repeats	NA	52	11	0.9816	NA	14	71.6927	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_54941	5512	No terminal repeats	NA	5	11	0.9814	NA	3	7.9723	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_46661	4530	No terminal repeats	NA	10	11	0.9814	NA	0	13.3499	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_36386	2629	No terminal repeats	NA	6	11	0.9814	NA	0	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_5973	2688	No terminal repeats	NA	9	11	0.9814	NA	1	13.3038	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_3428|provirus_11796_67644	55849	Provirus	11796-67644	79	11	0.9814	NA	7	86.7230	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_57726	3185	No terminal repeats	NA	3	11	0.9812	NA	2	4.8703	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_54719	5100	No terminal repeats	NA	11	11	0.9811	NA	0	9.1035	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_20693|provirus_15598_63893	48296	Provirus	15598-63893	70	11	0.9811	NA	15	75.7874	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_65278	3827	No terminal repeats	NA	4	11	0.9810	NA	0	6.3947	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_27929	2028	No terminal repeats	NA	3	11	0.9808	NA	2	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_26993	2731	No terminal repeats	NA	5	11	0.9806	NA	0	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_36364	2638	No terminal repeats	NA	7	11	0.9806	NA	0	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_69321	1990	No terminal repeats	NA	7	11	0.9806	NA	1	12.0280	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_53416	2870	No terminal repeats	NA	9	11	0.9805	NA	0	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_4508	3057	No terminal repeats	NA	5	11	0.9805	NA	2	8.1433	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_68973	1270	No terminal repeats	NA	3	11	0.9804	NA	1	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_14813	1936	No terminal repeats	NA	3	11	0.9802	NA	1	4.5775	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_21641	16038	No terminal repeats	NA	21	11	0.9801	NA	5	26.2274	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_38323	4600	No terminal repeats	NA	10	11	0.9801	NA	1	10.6634	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_52409	29048	No terminal repeats	NA	36	11	0.9799	NA	13	43.5195	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_5598	5087	No terminal repeats	NA	7	11	0.9799	NA	0	8.5836	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_20245	3767	No terminal repeats	NA	6	11	0.9798	NA	3	9.6363	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_9620|provirus_265_57201	56937	Provirus	265-57201	77	11	0.9798	NA	8	108.6657	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_37797	11322	No terminal repeats	NA	10	11	0.9797	NA	3	12.4024	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_26985	2840	No terminal repeats	NA	5	11	0.9797	NA	0	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_36891	7540	No terminal repeats	NA	10	11	0.9796	NA	3	12.2671	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_11564	35376	No terminal repeats	NA	47	11	0.9796	NA	14	58.8035	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_18198	41007	No terminal repeats	NA	39	11	0.9796	NA	8	61.1723	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
