contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
ERR2726443_17	51982	No	NA	41	4	2	Medium-quality	Genome-fragment	79.43	AAI-based (high-confidence)	0.0	1.0	
ERR2726443_160	7305	No	NA	7	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
ERR2726443_164	4129	No	NA	4	1	0	Low-quality	Genome-fragment	3.7	AAI-based (high-confidence)	0.0	1.0	
ERR2726443_277	23954	No	NA	27	11	0	Medium-quality	Genome-fragment	50.06	AAI-based (medium-confidence)	0.0	1.0	
ERR2726443_451	2235	No	NA	7	2	0	Low-quality	Genome-fragment	6.24	AAI-based (high-confidence)	0.0	1.0	
ERR2726443_566	4700	Yes	2980	6	1	2	Low-quality	Genome-fragment	0.82	HMM-based (lower-bound)	36.6	1.0	
ERR2726443_580	6055	No	NA	10	4	0	Low-quality	Genome-fragment	14.11	AAI-based (medium-confidence)	0.0	1.0	
ERR2726443_729	3395	No	NA	7	0	0	Low-quality	Genome-fragment	5.65	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
ERR2726443_838	2571	No	NA	3	0	0	Low-quality	Genome-fragment	2.96	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
ERR2726443_979	11280	No	NA	13	1	2	Low-quality	Genome-fragment	13.9	HMM-based (lower-bound)	0.0	1.0	
ERR2726443_1014	1260	No	NA	2	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
ERR2726443_1095	26651	No	NA	20	0	13	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
ERR2726443_1153	3530	No	NA	1	0	1	Low-quality	Genome-fragment	2.07	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
ERR2726443_1316	1856	No	NA	5	0	0	Low-quality	Genome-fragment	4.36	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
ERR2726443_1444	1555	Yes	868	4	1	1	Low-quality	Genome-fragment	2.22	AAI-based (medium-confidence)	44.18	1.0	
ERR2726443_1610	2291	No	NA	4	1	0	Low-quality	Genome-fragment	2.65	HMM-based (lower-bound)	0.0	1.0	
ERR2726443_1822	10454	No	NA	17	1	2	Low-quality	Genome-fragment	24.42	AAI-based (high-confidence)	0.0	1.0	
ERR2726443_1835	17888	No	NA	15	1	4	Low-quality	Genome-fragment	11.22	HMM-based (lower-bound)	0.0	1.0	
ERR2726443_1836	5784	No	NA	5	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
ERR2726443_1979	3010	No	NA	1	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
ERR2726443_2083	3138	No	NA	5	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
ERR2726443_2253	20630	No	NA	33	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
ERR2726443_2292	1694	No	NA	4	1	0	Low-quality	Genome-fragment	4.73	AAI-based (high-confidence)	0.0	1.0	
ERR2726443_2351	2568	No	NA	2	0	1	Low-quality	Genome-fragment	1.67	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
ERR2726443_2410	3111	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
