seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
ERR2726443_7355	7711	No terminal repeats	NA	10	11	0.9833	NA	5	14.5066	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726443_45690	5065	No terminal repeats	NA	7	11	0.9833	NA	3	10.9613	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726443_5892	14021	No terminal repeats	NA	17	11	0.9832	NA	5	23.0192	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726443_23977	4633	No terminal repeats	NA	8	11	0.9831	NA	2	12.9892	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726443_39977	10524	No terminal repeats	NA	12	11	0.9831	NA	9	19.0837	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726443_10823	5569	No terminal repeats	NA	11	11	0.9830	NA	3	13.4350	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726443_16296	6845	No terminal repeats	NA	9	11	0.9830	NA	4	15.2503	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726443_9733	9962	No terminal repeats	NA	13	11	0.9829	NA	5	18.8572	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726443_50695	4860	No terminal repeats	NA	9	11	0.9825	NA	1	11.6752	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726443_7523	10714	No terminal repeats	NA	22	11	0.9825	NA	1	29.6817	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726443_28916	5278	No terminal repeats	NA	9	11	0.9824	NA	4	11.8675	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726443_38790	5341	No terminal repeats	NA	6	11	0.9824	NA	2	7.6302	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726443_19527	5688	No terminal repeats	NA	7	11	0.9824	NA	0	8.6330	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726443_3767	27939	No terminal repeats	NA	33	11	0.9823	NA	14	44.3098	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726443_10053	8246	No terminal repeats	NA	12	11	0.9823	NA	4	12.3116	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726443_49843	4146	No terminal repeats	NA	6	11	0.9823	NA	5	9.3954	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726443_46304	3635	No terminal repeats	NA	4	11	0.9823	NA	2	6.0964	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726443_50854	4112	No terminal repeats	NA	4	11	0.9823	NA	0	6.2803	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726443_19530	4412	No terminal repeats	NA	5	11	0.9821	NA	2	8.0852	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726443_10577	8729	No terminal repeats	NA	17	11	0.9821	NA	3	21.9971	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726443_22869	18171	No terminal repeats	NA	26	11	0.9820	NA	7	26.5078	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726443_10873	4898	No terminal repeats	NA	9	11	0.9820	NA	2	11.5387	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726443_2548	25386	No terminal repeats	NA	40	11	0.9818	NA	4	56.9653	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726443_19289	5841	No terminal repeats	NA	11	11	0.9817	NA	0	13.0333	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726443_18816	7626	No terminal repeats	NA	13	11	0.9817	NA	4	15.2496	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
