Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
bin.1	12.61	0.0	Neural Network (Specific Model)	11	0.932	24363	367.8559670781893	287268	0.45	243	18	57094	None
bin.10	9.33	0.0	Neural Network (Specific Model)	11	0.91	5651	364.88796680497927	289736	0.59	241	55	16012	None
bin.11	53.23	0.58	Gradient Boost (General Model)	11	0.937	5186	353.80749574105624	663549	0.37	587	132	27227	None
bin.12	30.47	0.0	Neural Network (Specific Model)	11	0.88	4729	288.2126168224299	839993	0.56	856	181	18686	None
bin.13	59.72	0.96	Gradient Boost (General Model)	11	0.928	4391	282.07736943907156	941241	0.51	1034	217	15163	None
bin.14	10.34	0.0	Neural Network (Specific Model)	11	0.948	3290	327.6521739130435	214266	0.45	207	61	8194	None
bin.15	50.6	5.18	Neural Network (Specific Model)	11	0.913	7319	345.70721432332806	2154470	0.45	1899	349	22541	None
bin.16	62.08	0.42	Gradient Boost (General Model)	11	0.902	6977	323.733692722372	1994359	0.58	1855	328	27785	None
bin.17	73.32	0.13	Neural Network (Specific Model)	11	0.916	7684	315.506357103372	1865534	0.43	1809	283	25503	None
bin.18	7.32	0.01	Neural Network (Specific Model)	11	0.922	3162	270.54485049833886	264415	0.61	301	81	6157	None
bin.19	17.38	0.0	Neural Network (Specific Model)	11	0.912	4811	328.7789799072643	699010	0.57	647	145	20912	None
bin.2	6.18	0.0	Neural Network (Specific Model)	11	0.922	3039	269.99655172413793	254232	0.6	290	82	4862	None
bin.20	12.37	0.06	Neural Network (Specific Model)	11	0.914	3603	287.3988868274583	507819	0.62	539	137	9388	None
bin.21	9.77	0.07	Neural Network (Specific Model)	11	0.908	5058	298.6271844660194	507476	0.53	515	105	12627	None
bin.22	77.08	0.27	Neural Network (Specific Model)	11	0.913	9531	324.3302752293578	2552132	0.48	2398	321	33152	None
bin.23	65.19	1.07	Neural Network (Specific Model)	11	0.909	6403	290.8354591836735	1502995	0.58	1568	260	22259	None
bin.24	13.92	0.0	Neural Network (Specific Model)	11	0.892	4837	317.8469135802469	432280	0.59	405	93	17995	None
bin.25	24.22	0.1	Neural Network (Specific Model)	11	0.928	3640	295.7413793103448	498235	0.5	522	131	8468	None
bin.26	54.5	0.46	Neural Network (Specific Model)	11	0.94	5485	308.26435331230283	1556784	0.45	1585	290	24115	None
bin.27	74.99	0.56	Neural Network (Specific Model)	11	0.92	13781	353.0556621880998	1797063	0.52	1563	176	37054	None
bin.28	53.53	0.44	Neural Network (Specific Model)	11	0.909	4876	324.29927594529363	1327860	0.52	1243	279	17656	None
bin.29	73.02	1.84	Neural Network (Specific Model)	11	0.91	10069	320.8499446290144	1906870	0.55	1806	223	54746	None
bin.3	64.04	4.36	Neural Network (Specific Model)	11	0.919	6580	363.83384529461046	4248336	0.42	3581	723	49985	None
bin.30	83.66	0.35	Neural Network (Specific Model)	11	0.918	10129	314.8702845797485	1552603	0.45	1511	189	38819	None
bin.31	82.79	0.43	Neural Network (Specific Model)	11	0.89	6867	324.07260726072604	1653153	0.37	1515	260	24490	None
bin.32	69.49	0.36	Neural Network (Specific Model)	11	0.892	8881	290.3412860052371	3350462	0.51	3437	478	37520	None
bin.4	9.14	0.01	Neural Network (Specific Model)	11	0.915	3415	249.9035532994924	322173	0.64	394	92	7477	None
bin.5	55.11	0.58	Neural Network (Specific Model)	11	0.876	5783	293.8452380952381	1350144	0.56	1344	252	23106	None
bin.6	25.96	0.06	Neural Network (Specific Model)	11	0.908	4623	259.0411568409344	767462	0.62	899	169	20197	None
bin.7	9.16	0.0	Neural Network (Specific Model)	11	0.88	9901	277.39367816091954	328452	0.5	348	41	46219	None
bin.8	69.3	2.37	Gradient Boost (General Model)	11	0.908	8679	334.9795127353267	1996434	0.45	1806	290	26007	None
bin.9	74.14	18.86	Neural Network (Specific Model)	11	0.915	5213	304.4693931398417	3775456	0.43	3790	764	26882	None
